"","taxonname","first_letter","mean_silt","sd_silt","n_silt","mean_c_silt","sd_c_silt","mean_f_silt","sd_f_silt","mean_ratio_ctof","sd_ratio_ctof","n_silt_psa","n_pedons"
"21","MUSICK","A",28.984999935,6.6002613088662,20,11.225000025,3.42668125388318,19.762499675,5.35001637974798,0.593873239461597,0.208495627436672,8,12
"22","PARDEE","A",38.9818184545455,5.68784993583226,11,16.462499975,1.95297388121666,23.9625001,4.53019625276565,0.70099585459231,0.110048113302104,8,6
"23","SKY","A",31.175000425,2.48063971616786,8,12.225000025,1.47527229593149,18.9499998,2.48596044331249,0.657958325356959,0.13413527324882,8,4
"24","CASSENAI","A",12.0428571,2.89876809820015,7,5.75714285714286,1.08144521183021,6.28571418571429,2.31979059358713,1.01989585231265,0.359149828896774,7,4
"25","MEEKS","A",12.2857143571429,5.65403378398789,7,6.65714291428571,4.01242135938365,5.62857144285714,2.27867979498992,1.26341556518423,0.702568187050557,7,4
"26","WINDY","A",34.2916666666667,5.56032325929706,12,9.75714302857143,0.672946714086719,21.4999997142857,2.05912600877178,0.456305551792895,0.0405165330677778,7,5
"27","CANNELL","A",18.5999999,8.49399762561776,6,10.9499999666667,4.62201236735689,7.6500001,5.46836369273296,3.30535612577366,3.74866043567182,6,4
"28","MARIPOSA","A",54.3857144,3.95492483854908,7,19.78000032,5.06082988807172,33.54000054,3.0899840090202,0.600449709912018,0.19656975172561,5,4
"29","SHAVER","A",16.4454544181818,4.44935160191403,11,4.83999996,4.4241383029919,8.33999996,1.66222741945862,0.664919224241962,0.62549826355812,5,5
"30","SIERRA","A",28.6538464461538,5.49053989560745,13,14.3,3.77624157463479,17.46000024,0.942337754735725,0.815297689389166,0.203620001656726,5,8
"31","AIKEN","A",37.1500000875,6.58743417608759,8,14.92499995,1.54353474531679,25.1500001,1.16189440139819,0.593141217992022,0.0519645056964715,4,4
"32","CHALLENGE","A",40.6941176,9.81417802701566,17,15.04999995,0.741619736342993,32.74999905,2.6764399837596,0.461073643597468,0.0323673379844961,4,10
"33","RESCUE","A",34.4222223444444,5.82747345839816,9,10.22500015,0.531507205971882,18.375,1.05632994845376,0.558320637977266,0.0520173148738049,4,4
"34","TOOMES","A",45.2533332933333,7.81873803288954,15,13.625,2.16852482577445,27.6750002,1.45688055332852,0.496280163227832,0.103496371317871,4,10
"35","TRABUCO","A",33.76999988,5.87916297904927,10,14.1750002,1.00457269854737,22.7750001,2.68498938669548,0.628976585542136,0.0893386655722637,4,7
"36","WHITEROCK","A",31.0416668333333,7.47705071669307,12,9.07500005,0.880814238834385,28.9249997,3.41894177292727,0.316991495927969,0.0494330387639368,4,9
"37","AUBERRY","A",24.4750000583333,8.24688660975106,12,9.4000001,2.77308518982019,11.6333332,1.13724797061448,0.798825975646782,0.156686437061716,3,6
"38","LOAFERCREEK","A",43.98999996,9.04095015650705,10,14.6666666666667,2.89194218015053,34.3666674333333,4.65009025718862,0.440246204390378,0.152453845737297,3,9
"39","SUPAN","A",42.2833328333333,8.27294700011236,6,20.5333334666667,6.21637676464359,28.5666662666667,6.20832773082523,0.782915433703374,0.443032356499862,3,5
"40","CHAWANAKEE","A",15.4999998333333,5.50127237573274,6,7.5500002,0.353553390593274,14.3499999,1.62634573815042,0.530938434926242,0.0848113491245264,2,4
"41","FLANLY","A",27.6555557111111,8.72025157612062,9,14.4500003,5.8689864252697,15.5500002,4.17192972615792,1.01647361432044,0.65013779952931,2,5
"42","SIXBIT","A",47.55999986,5.88115575172107,5,10.3499999,0.0707102538545859,31.25,0.212131468670541,0.331215307893434,0.00451108619405391,2,4
"43","TOLLHOUSE","A",12.5444445111111,2.228290182205,9,6,0.848527996002501,8.4000001,0.141421214815954,0.715237410547079,0.113056872402167,2,4
"44","WALLYHILL","A",38.48000031,6.413318699429,10,19.8500004,0.919238249857086,25.1999998,9.47523058505702,0.85499450923826,0.357956684342802,2,7
"45","ULTIC HAPLOXERALFS","A",27.8714286142857,12.8770746966035,7,9.6999998,NA,24.6000004,NA,0.394308928547822,NA,1,6
"46","COPPEROPOLIS","A",40.8499997333333,10.7133096958877,6,NA,NA,NA,NA,NA,NA,0,5
"47","GUENOC","A",39.7000005,6.7181345930251,7,NA,NA,NA,NA,NA,NA,0,4
"48","SITES","B",36.5746481492958,8.88143679984941,71,13.1195121609756,3.22414471332531,28.6926829146341,6.11949312588624,0.494913177177492,0.246992140389537,41,18
"49","JOCAL","B",44.7678574142857,12.7195693236798,28,14.5035714071429,3.63271983475617,30.2642860142857,9.78147206965385,0.500977938861905,0.115845312058114,28,6
"50","HOLLAND","B",23.6481481685185,6.48122796682109,54,7.41481483333333,2.91715136232949,16.8962964,2.61114204670895,0.452987614301039,0.198843452884531,27,19
"51","JABU","B",14.404000036,3.8702367166665,25,6.251999968,1.75620805030802,8.151999968,2.34398521364791,0.791897809184384,0.191980021495846,25,4
"52","MUSICK","B",24.0139534790698,8.12897746644411,43,9.70000002,3.83134011258899,15.215999984,6.19439812032077,0.686068751815516,0.271975832983415,25,12
"53","JORGE","B",37.3083331541667,13.8107050212712,24,9.6458334375,2.67613927583366,27.6625003083333,14.5384894924009,0.42219285356385,0.198856336664363,24,4
"54","COHASSET","B",35.5913042826087,4.15023658834652,23,10.1652174,1.59676064135199,25.4260869217391,3.5424973817135,0.405902279048204,0.0771958689564404,23,9
"55","ARGONAUT","B",33.25937485,10.1639102521872,32,12.9894735368421,4.00387232673223,26.3947366368421,4.32967439758057,0.487479112434742,0.110889791748187,19,11
"56","TALLAC","B",23.1833335055556,5.62413409399664,18,12.0777778111111,1.7447587680516,11.1055557,4.01548085887282,1.18177711983124,0.30506389184278,18,6
"57","JOSEPHINE","B",41.37333324,4.35208748220471,15,15.67999992,4.06469104564807,25.6933332533333,7.45150650596116,0.728660592592156,0.465314107971917,15,4
"58","CHALLENGE","B",35.6179489717949,7.11872527560439,39,12.0999999714286,1.86712450163761,28.3714283428571,3.24165895166374,0.430542898022069,0.0720306825343109,14,10
"59","LOAFERCREEK","B",42.0923082653846,7.59968040103718,26,12.75,2.94585755204206,32.6214286285714,4.06300013966845,0.396754316916427,0.105388215456404,14,10
"60","AIKEN","B",34.48888905,5.23606155674413,18,11.2833333,2.18083934495068,25.9083333,1.21090343558162,0.436690549853751,0.0885680892262189,12,4
"61","AUBURN","B",45.57500001,9.52917226031953,20,21.82500005,7.86246812376832,27.1083331166667,8.46967375463783,0.919839360327065,0.602631831020175,12,14
"62","DOME","B",16.4636364,4.20458621715082,11,7.22727268181818,2.07513420889087,9.23636367272727,3.02531746228994,0.849228954657224,0.271265911155003,11,5
"63","PARDEE","B",34.1428568785714,9.46375375684042,14,13.6545454818182,4.04013952920622,22.5181818,5.58208174826954,0.604159010875528,0.138987319658602,11,6
"64","AUBERRY","B",21.77999978,7.08709689114108,20,8.61111108888889,2.6345988198712,12.2555556888889,1.81322290166189,0.691505375167169,0.158579588238816,9,6
"65","MARIPOSA","B",51.9363632181818,10.1197101544462,11,15.5111109333333,3.96624620586717,38.7444443222222,7.90413064985652,0.413281464697197,0.112223122854468,9,4
"66","MCCARTHY","B",29.0363634272727,6.02300113874081,11,9.5444444,4.26793590447682,21.5666664888889,2.37539458967705,0.45323040069293,0.218675889915798,9,6
"67","TRABUCO","B",27.3700004,8.45278559267832,20,10.6333334222222,1.53866810857099,22.7888889333333,1.8030833153858,0.467497558396645,0.0658710239528028,9,7
"68","CANNELL","B",17.47500015,4.84819556978236,8,9.6250000625,1.68586567567782,7.849999875,4.26279581663088,1.72659254373318,1.18014787032143,8,4
"69","SIERRA","B",24.9333334714286,7.23687332179217,21,13.0499997625,5.15807249256654,17.9749999,1.04026129959207,0.733612164073872,0.302857094624627,8,8
"70","SUPAN","B",36.8647059294118,5.1746909075923,17,13.39999985,1.81737631766238,26.10000015,4.15107545720731,0.516385929170448,0.0337502350676947,8,5
"71","FLANLY","B",29.06249994375,9.27828104666127,16,14.2714283714286,4.86850911324138,15.857143,1.95947038690132,0.92780858161254,0.386806162872506,7,5
"72","NEDSGULCH","B",37.11999969,10.2079271178172,10,18.6571430571429,3.72775939891387,23.8999998857143,2.80832104527481,0.776084526897021,0.100476715007309,7,11
"73","AHWAHNEE","B",22.3090907818182,11.9615596053966,11,12.5999999,8.04760819448861,15.7166667,5.49087112372287,0.728978298160189,0.283254247767713,6,9
"74","BOTTLEHILL","B",41.4444446555556,12.6453659138108,9,13.1333332833333,7.29374164902122,31.9166660166667,6.49289309080836,0.386503356028308,0.150786531314983,6,4
"75","RESCUE","B",27.2818182090909,5.54667844234078,11,7.41666666666667,1.03037203313497,15.8000002,1.66373049019374,0.471852365090381,0.0688339579530139,6,4
"76","WALLYHILL","B",34.58749998125,8.31968552327357,16,16.1000000666667,4.05216041143491,23.1166664666667,5.60835722138552,0.720460915955321,0.209861236948004,6,8
"77","CHAIX","B",20.67000028,2.56170484569257,10,8.33999996,1.11489900170376,12.58000012,3.64101610762714,0.741678997223641,0.349875314466693,5,6
"78","SIXBIT","B",42.9857139714286,4.81124655409455,7,9.16666666666667,2.05507485346237,29.8333333333333,2.37135607898391,0.304871636834245,0.0475674423657214,3,4
"79","WINDY","B",28.7200001,4.04623251741677,5,7.9666667,1.88767942370171,19.6333338666667,3.63501502610377,0.408880897894429,0.0952974358789833,3,5
"80","ULTIC HAPLOXERALFS","B",27.8999997214286,11.2877058045809,14,8.1999998,2.82842712474619,25.6500006,0.070710960961369,0.319841303428504,0.1111517872895,2,6
"81","CHAWANAKEE","B",12.425000075,6.02460244677329,4,7.8000002,NA,11.8000002,NA,0.661016954898018,NA,1,4
"82","GUENOC","B",33.7499999875,5.46495365618834,8,NA,NA,NA,NA,NA,NA,0,4
"83","TOOMES","B",46.8444446888889,7.70731898154826,9,NA,NA,NA,NA,NA,NA,0,7
"84","TALLAC","C",15.2578946631579,6.69380435025796,19,8.17368427368421,3.77680689742908,7.08421057894737,3.24007259134622,1.17326633887122,0.333408627380098,19,5
"85","TAHOE","C",12.9999999166667,5.36634401387893,18,6.32222222222222,2.7912796375088,6.67777776666667,2.75158890271467,0.966013035639976,0.162279834444705,18,6
"86","DOME","C",16.5705884,3.19487189416843,17,6.73529414705882,1.27668579861389,9.83529408823529,2.50572877004759,0.728783390728569,0.2416162326797,17,8
"87","CAGWIN","C",11.549999975,2.49768308838413,20,5.60000008666667,1.55930391842001,5.73999996666667,2.47004911026944,1.15465939219556,0.486728596306952,15,8
